displacement hp drive weight mpghw mpgcity front.id rear.id
164     150     4-wheel 4250    27.1    19.1    0       0      
164     150     4-wheel 3750    27.6    20.5    0       0      
287     230     4-wheel 6000    20.9    14.9    0       0      
183     190     front   4000    32.7    20.8    1       0      
108     120     front   2750    42.0    30.9    1       0      
170     172     front   3125    33.4    21.4    1       0      
142     236     front   3750    34.5    21.9    1       0      
142     236     front   3625    35.3    22.0    1       0      
142     236     front   3750    35.3    21.9    1       0      
142     247     4-wheel 4000    31.3    20.6    0       0      
142     247     4-wheel 4000    31.6    20.2    0       0      
169     200     front   3875    35.4    20.3    1       0      
169     200     4-wheel 4000    33.2    19.6    0       0      
109     150     front   3375    40.7    25.9    1       0      
109     150     4-wheel 3625    34.9    21.3    0       0      
135     142     4-wheel 3125    37.8    25.6    0       0      
135     142     4-wheel 3250    37.8    25.8    0       0      
135     142     4-wheel 3375    38.7    25.0    0       0      
135     142     4-wheel 3375    35.8    24.7    0       0      
150     165     4-wheel 3500    33.2    23.6    0       0      
